time,x,y,yaw,v,w,left_rpm,right_rpm,ref_x,ref_y,ref_yaw,ref_v,ref_w,ref_left_rpm,ref_right_rpm
1.18,2.74438,0.553019,64.4806,0.42538,0.285714,7.5076,9.5076,2.94861,0.552883,100.62,0.471239,0.15708,8.875,9.97456
1.19,2.74621,0.556858,64.6443,0.42538,0.285714,7.5076,9.5076,2.94774,0.557514,100.71,0.471239,0.15708,8.875,9.97456
1.2,2.74805,0.560739,64.808,0.429493,0.285714,7.58985,9.58985,2.94686,0.562144,100.8,0.471239,0.15708,8.875,9.97456
1.21,2.74988,0.564626,64.9717,0.429493,0.285714,7.58985,9.58985,2.94598,0.566772,100.89,0.471239,0.15708,8.875,9.97456
1.22,2.75169,0.568517,65.1354,0.429493,0.285714,7.58985,9.58985,2.94508,0.571399,100.98,0.471239,0.15708,8.875,9.97456
1.23,2.7535,0.572414,65.2991,0.429493,0.285714,7.58985,9.58985,2.94418,0.576024,101.07,0.471239,0.15708,8.875,9.97456
1.24,2.75529,0.576316,65.4628,0.429493,0.285714,7.58985,9.58985,2.94327,0.580648,101.16,0.471239,0.15708,8.875,9.97456
1.25,2.75709,0.580259,65.6265,0.433477,0.285714,7.66953,9.66953,2.94236,0.585271,101.25,0.471239,0.15708,8.875,9.97456
1.26,2.75888,0.584208,65.7902,0.433477,0.285714,7.66953,9.66953,2.94143,0.589892,101.34,0.471239,0.15708,8.875,9.97456
1.27,2.76066,0.588161,65.9539,0.433477,0.285714,7.66953,9.66953,2.9405,0.594512,101.43,0.471239,0.15708,8.875,9.97456
1.28,2.76243,0.59212,66.1176,0.433477,0.285714,7.66953,9.66953,2.93957,0.59913,101.52,0.471239,0.15708,8.875,9.97456
1.29,2.76418,0.596083,66.2813,0.433477,0.285714,7.66953,9.66953,2.93862,0.603747,101.61,0.471239,0.15708,8.875,9.97456
1.3,2.76594,0.600087,66.445,0.437336,0.285714,7.74672,9.74672,2.93767,0.608362,101.7,0.471239,0.15708,8.875,9.97456
1.31,2.76769,0.604096,66.6087,0.437336,0.285714,7.74672,9.74672,2.93671,0.612976,101.79,0.471239,0.15708,8.875,9.97456
1.32,2.76942,0.60811,66.7724,0.437336,0.285714,7.74672,9.74672,2.93574,0.617588,101.88,0.471239,0.15708,8.875,9.97456
1.33,2.77115,0.612129,66.9361,0.437336,0.285714,7.74672,9.74672,2.93477,0.622199,101.97,0.471239,0.15708,8.875,9.97456
1.34,2.77286,0.616153,67.0998,0.437336,0.285714,7.74672,9.74672,2.93379,0.626808,102.06,0.471239,0.15708,8.875,9.97456
1.35,2.77458,0.620216,67.2635,0.441074,0.285714,7.82149,9.82149,2.9328,0.631415,102.15,0.471239,0.15708,8.875,9.97456
1.36,2.77628,0.624284,67.4272,0.441074,0.285714,7.82149,9.82149,2.9318,0.636021,102.24,0.471239,0.15708,8.875,9.97456
1.37,2.77798,0.628357,67.5909,0.441074,0.285714,7.82149,9.82149,2.9308,0.640626,102.33,0.471239,0.15708,8.875,9.97456
1.38,2.77966,0.632434,67.7546,0.441074,0.285714,7.82149,9.82149,2.92979,0.645229,102.42,0.471239,0.15708,8.875,9.97456
1.39,2.78133,0.636517,67.9183,0.441074,0.285714,7.82149,9.82149,2.92877,0.64983,102.51,0.471239,0.15708,8.875,9.97456
1.4,2.783,0.640638,68.082,0.444696,0.285714,7.89391,9.89391,2.92775,0.65443,102.6,0.471239,0.15708,8.875,9.97456
1.41,2.78466,0.644763,68.2457,0.444696,0.285714,7.89391,9.89391,2.92672,0.659028,102.69,0.471239,0.15708,8.875,9.97456
1.42,2.78631,0.648893,68.4094,0.444696,0.285714,7.89391,9.89391,2.92568,0.663624,102.78,0.471239,0.15708,8.875,9.97456
1.43,2.78794,0.653028,68.5731,0.444696,0.285714,7.89391,9.89391,2.92463,0.668219,102.87,0.471239,0.15708,8.875,9.97456
1.44,2.78957,0.657168,68.7368,0.444696,0.285714,7.89391,9.89391,2.92358,0.672812,102.96,0.471239,0.15708,8.875,9.97456
1.45,2.79119,0.661345,68.9005,0.448203,0.285714,7.96406,9.96406,2.92252,0.677404,103.05,0.471239,0.15708,8.875,9.97456
1.46,2.79281,0.665526,69.0642,0.448203,0.285714,7.96406,9.96406,2.92145,0.681994,103.14,0.471239,0.15708,8.875,9.97456
1.47,2.79441,0.669713,69.2279,0.448203,0.285714,7.96406,9.96406,2.92038,0.686582,103.23,0.471239,0.15708,8.875,9.97456
1.48,2.796,0.673903,69.3916,0.448203,0.285714,7.96406,9.96406,2.9193,0.691168,103.32,0.471239,0.15708,8.875,9.97456
1.49,2.79758,0.678099,69.5553,0.448203,0.285714,7.96406,9.96406,2.91821,0.695753,103.41,0.471239,0.15708,8.875,9.97456
1.5,2.79915,0.68233,69.719,0.4516,0.285714,8.032,10.032,2.91711,0.700336,103.5,0.471239,0.15708,8.875,9.97456
1.51,2.80072,0.686566,69.8827,0.4516,0.285714,8.032,10.032,2.91601,0.704917,103.59,0.471239,0.15708,8.875,9.97456
1.52,2.80227,0.690807,70.0464,0.4516,0.285714,8.032,10.032,2.9149,0.709497,103.68,0.471239,0.15708,8.875,9.97456
1.53,2.80381,0.695051,70.2101,0.4516,0.285714,8.032,10.032,2.91378,0.714075,103.77,0.471239,0.15708,8.875,9.97456
1.54,2.80534,0.699301,70.3738,0.4516,0.285714,8.032,10.032,2.91265,0.718651,103.86,0.471239,0.15708,8.875,9.97456
1.55,2.80687,0.703585,70.5375,0.45489,0.285714,8.0978,10.0978,2.91152,0.723225,103.95,0.471239,0.15708,8.875,9.97456
1.56,2.80839,0.707874,70.7013,0.45489,0.285714,8.0978,10.0978,2.91038,0.727798,104.04,0.471239,0.15708,8.875,9.97456
1.57,2.80989,0.712168,70.865,0.45489,0.285714,8.0978,10.0978,2.90923,0.732368,104.13,0.471239,0.15708,8.875,9.97456
1.58,2.81138,0.716465,71.0287,0.45489,0.285714,8.0978,10.0978,2.90808,0.736937,104.22,0.471239,0.15708,8.875,9.97456
1.59,2.81286,0.720767,71.1924,0.45489,0.285714,8.0978,10.0978,2.90692,0.741504,104.31,0.471239,0.15708,8.875,9.97456
